"node","sum","dy","height","EngName","dx","color"
"愛",42,10,70.2295081967213,"Love",30,"#D7955B"
"喜",44,90.2295081967213,73.5737704918033,"Like",30,"#DAA36C"
"欲",9,173.803278688525,15.0491803278689,"Desire",30,"#E7C59D"
"中性",100,198.852459016393,167.213114754098,"Neutral",30,"#ECE3C1"
"懼",5,376.065573770492,8.36065573770492,"Fear",30,"#C3C8BA"
"哀",62,394.426229508197,103.672131147541,"Depress",30,"#93A49E"
"怒",19,508.098360655738,31.7704918032787,"Anger",30,"#638083"
"惡",24,549.868852459016,40.1311475409836,"Hate",30,"#3D646E"
"赋",146,106.666666666667,175.51912568306,"Narration",640,"#9CA7AF"
"比",52,292.185792349727,62.5136612021858,"Simile",640,"#9CA7AF"
"兴",107,364.699453551913,128.633879781421,"Borrowed Analogy",640,"#9CA7AF"
