"section","n","a1","a2","opacity","cx","cy"
"郑风 ",21,0,0.41233403578366,1,225,278.333333333333
"邶风",19,0.41233403578366,0.785398163397448,0.905882352941176,225,278.333333333333
"召南",14,0.785398163397448,1.06028752058656,0.670588235294118,225,278.333333333333
"唐风",12,1.06028752058656,1.29590696960579,0.576470588235294,225,278.333333333333
"齐风",11,1.29590696960579,1.51189146454009,0.529411764705882,225,278.333333333333
"周南",11,1.51189146454009,1.72787595947439,0.529411764705882,225,278.333333333333
"陈风",10,1.72787595947439,1.92422550032375,0.482352941176471,225,278.333333333333
"秦风",10,1.92422550032375,2.12057504117311,0.482352941176471,225,278.333333333333
"王风",10,2.12057504117311,2.31692458202247,0.482352941176471,225,278.333333333333
"卫风",10,2.31692458202247,2.51327412287184,0.482352941176471,225,278.333333333333
"鄘风",10,2.51327412287184,2.7096236637212,0.482352941176471,225,278.333333333333
"豳风",7,2.7096236637212,2.84706834231575,0.341176470588235,225,278.333333333333
"魏风",7,2.84706834231575,2.9845130209103,0.341176470588235,225,278.333333333333
"曹风",4,2.9845130209103,3.06305283725005,0.2,225,278.333333333333
"桧风",4,3.06305283725005,3.14159265358979,0.2,225,278.333333333333
