"name","n","a1","a2","r","ratio"
"黍",3,6.2482787221397,6.13425054434274,5.70063671139758,0.0666666666666667
"稻",3,6.09934395930285,5.98531578150589,5.70063671139758,0.0666666666666667
"穀",4,5.950409196466,5.79837162607005,7.60004822872165,0.0888888888888889
"荼",4,5.76346504103016,5.61142747063421,7.60004822872165,0.0888888888888889
"棘",4,5.57652088559433,5.42448331519838,7.60004822872165,0.0888888888888889
"来",7,5.38957673015849,5.12351098196558,13.2934796547493,0.155555555555556
"马",10,5.08860439692569,4.70851047093581,18.9761088450565,0.222222222222222
"鸱鸮",4,4.67360388589593,4.52156631549998,7.60004822872165,0.0888888888888889
"鹿",3,4.48665973046009,4.37263155266313,5.70063671139758,0.0666666666666667
"鸠",3,4.33772496762324,4.22369678982628,5.70063671139758,0.0666666666666667
