"r","op","fill","a1","a2","height","r2","r1"
0.0555555555555556,0.8,"#93A49E",0,0.226892802759263,2.22222222222222,100,97.7777777777778
0.333333333333333,0.8,"#DAA36C",0.261799387799149,1.62315620435473,13.3333333333333,100,86.6666666666667
0.555555555555556,0.8,"#ECE3C1",1.65806278939461,3.92699081698724,22.2222222222222,100,77.7777777777778
0.0555555555555556,0.8,"#3D646E",3.96189740202713,4.18879020478639,2.22222222222222,100,97.7777777777778
1,0.7,"#A8B0AF",0,0.226892802759263,2.22222222222222,97.7777777777778,95.5555555555555
0.166666666666667,0.7,"#A8B0AF",0.261799387799149,0.488692190558412,2.22222222222222,86.6666666666667,84.4444444444444
0.333333333333333,0.775,"#A8B0AF",0.488692190558412,0.942477796076938,4.44444444444444,86.6666666666667,82.2222222222222
0.333333333333333,0.775,"#A8B0AF",0.942477796076938,1.39626340159546,4.44444444444444,86.6666666666667,82.2222222222222
0.166666666666667,0.7,"#A8B0AF",1.39626340159546,1.62315620435473,2.22222222222222,86.6666666666667,84.4444444444444
0.4,0.925,"#A8B0AF",1.65806278939461,2.56563400043166,8.88888888888889,77.7777777777778,68.8888888888889
0.5,1,"#A8B0AF",2.56563400043166,3.70009801422798,11.1111111111111,77.7777777777778,66.6666666666667
0.1,0.7,"#A8B0AF",3.70009801422798,3.92699081698724,2.22222222222222,77.7777777777778,75.5555555555555
1,0.7,"#A8B0AF",3.96189740202713,4.18879020478639,2.22222222222222,97.7777777777778,95.5555555555555
1,0.7,"#B2B3B7",0,0.226892802759263,2.22222222222222,95.5555555555555,93.3333333333333
1,0.7,"#B2B3B7",0.261799387799149,0.488692190558412,2.22222222222222,84.4444444444444,82.2222222222222
0.5,0.7,"#B2B3B7",0.488692190558412,0.715584993317675,2.22222222222222,82.2222222222222,80
0.5,0.7,"#B2B3B7",0.715584993317675,0.942477796076938,2.22222222222222,82.2222222222222,80
0.5,0.7,"#B2B3B7",0.942477796076938,1.1693705988362,2.22222222222222,82.2222222222222,80
0.5,0.7,"#B2B3B7",1.1693705988362,1.39626340159546,2.22222222222222,82.2222222222222,80
1,0.7,"#B2B3B7",1.39626340159546,1.62315620435473,2.22222222222222,84.4444444444444,82.2222222222222
0.8,1,"#B2B3B7",2.56563400043166,3.47320521146872,8.88888888888889,66.6666666666667,57.7777777777778
0.2,0.7,"#B2B3B7",3.47320521146872,3.70009801422798,2.22222222222222,66.6666666666667,64.4444444444444
1,0.7,"#B2B3B7",3.70009801422798,3.92699081698724,2.22222222222222,75.5555555555555,73.3333333333333
0.75,0.9,"#B2B3B7",1.65806278939461,2.3387411976724,6.66666666666667,68.8888888888889,62.2222222222222
0.25,0.7,"#B2B3B7",2.3387411976724,2.56563400043166,2.22222222222222,68.8888888888889,66.6666666666667
1,0.7,"#B2B3B7",3.96189740202713,4.18879020478639,2.22222222222222,95.5555555555555,93.3333333333333
1,0.8,"#C69480",0,0.226892802759263,2.22222222222222,93.3333333333333,91.1111111111111
1,0.8,"#C69480",0.261799387799149,0.488692190558412,2.22222222222222,82.2222222222222,80
1,0.8,"#73747E",0.715584993317675,0.942477796076938,2.22222222222222,80,77.7777777777778
1,0.8,"#C69480",0.488692190558412,0.715584993317675,2.22222222222222,80,77.7777777777778
1,0.8,"#C69480",1.1693705988362,1.39626340159546,2.22222222222222,80,77.7777777777778
1,0.8,"#C69480",0.942477796076938,1.1693705988362,2.22222222222222,80,77.7777777777778
1,0.8,"#C69480",1.39626340159546,1.62315620435473,2.22222222222222,82.2222222222222,80
1,0.8,"#C69480",3.47320521146872,3.70009801422798,2.22222222222222,64.4444444444444,62.2222222222222
0.25,0.8,"#48685B",2.56563400043166,2.79252680319093,2.22222222222222,57.7777777777778,55.5555555555556
0.75,0.8,"#C69480",2.79252680319093,3.47320521146872,6.66666666666667,57.7777777777778,51.1111111111111
1,0.8,"#48685B",3.70009801422798,3.92699081698724,2.22222222222222,73.3333333333333,71.1111111111111
1,0.8,"#C69480",2.3387411976724,2.56563400043166,2.22222222222222,66.6666666666667,64.4444444444444
0.666666666666667,0.8,"#48685B",1.65806278939461,2.11184839491314,4.44444444444444,62.2222222222222,57.7777777777778
0.333333333333333,0.8,"#C69480",2.11184839491314,2.3387411976724,2.22222222222222,62.2222222222222,60
1,0.8,"#73747E",3.96189740202713,4.18879020478639,2.22222222222222,93.3333333333333,91.1111111111111
