"r","op","fill","a1","a2","height","r2","r1"
0.117647058823529,0.8,"#93A49E",0,0.476372219367864,4.22222222222222,100,95.7777777777778
0.117647058823529,0.8,"#3D646E",0.511278804407751,0.987651023775615,4.22222222222222,100,95.7777777777778
0.588235294117647,0.8,"#ECE3C1",1.0225576088155,3.40441870565482,21.1111111111111,100,78.8888888888889
0.117647058823529,0.8,"#DAA36C",3.43932529069471,3.91569751006257,4.22222222222222,100,95.7777777777778
0.0588235294117647,0.8,"#638083",3.95060409510246,4.18879020478639,2.11111111111111,100,97.8888888888889
0.5,0.7,"#A8B0AF",0,0.238186109683932,2.11111111111111,95.7777777777778,93.6666666666667
0.5,0.7,"#A8B0AF",0.238186109683932,0.476372219367864,2.11111111111111,95.7777777777778,93.6666666666667
1,0.775,"#A8B0AF",0.511278804407751,0.987651023775615,4.22222222222222,95.7777777777778,91.5555555555555
0.3,0.85,"#A8B0AF",1.0225576088155,1.7371159378673,6.33333333333333,78.8888888888889,72.5555555555556
0.5,1,"#A8B0AF",1.7371159378673,2.92804648628696,10.5555555555556,78.8888888888889,68.3333333333333
0.2,0.775,"#A8B0AF",2.92804648628696,3.40441870565482,4.22222222222222,78.8888888888889,74.6666666666667
0.5,0.7,"#A8B0AF",3.43932529069471,3.67751140037864,2.11111111111111,95.7777777777778,93.6666666666667
0.5,0.7,"#A8B0AF",3.67751140037864,3.91569751006257,2.11111111111111,95.7777777777778,93.6666666666667
1,0.7,"#A8B0AF",3.95060409510246,4.18879020478639,2.11111111111111,97.8888888888889,95.7777777777778
1,0.7,"#B2B3B7",0,0.238186109683932,2.11111111111111,93.6666666666667,91.5555555555555
1,0.7,"#B2B3B7",0.238186109683932,0.476372219367864,2.11111111111111,93.6666666666667,91.5555555555555
1,0.775,"#B2B3B7",0.511278804407751,0.987651023775615,4.22222222222222,91.5555555555555,87.3333333333333
0.666666666666667,0.775,"#B2B3B7",1.0225576088155,1.49892982818337,4.22222222222222,72.5555555555556,68.3333333333333
0.333333333333333,0.7,"#B2B3B7",1.49892982818337,1.7371159378673,2.11111111111111,72.5555555555556,70.4444444444444
1,1,"#B2B3B7",1.7371159378673,2.92804648628696,10.5555555555556,68.3333333333333,57.7777777777778
1,0.775,"#B2B3B7",2.92804648628696,3.40441870565482,4.22222222222222,74.6666666666667,70.4444444444444
1,0.7,"#B2B3B7",3.43932529069471,3.67751140037864,2.11111111111111,93.6666666666667,91.5555555555555
1,0.7,"#B2B3B7",3.67751140037864,3.91569751006257,2.11111111111111,93.6666666666667,91.5555555555555
1,0.7,"#B2B3B7",3.95060409510246,4.18879020478639,2.11111111111111,95.7777777777778,93.6666666666667
1,0.8,"#73747E",0,0.238186109683932,2.11111111111111,91.5555555555555,89.4444444444444
1,0.8,"#73747E",0.238186109683932,0.476372219367864,2.11111111111111,91.5555555555555,89.4444444444444
1,0.8,"#73747E",0.511278804407751,0.987651023775615,4.22222222222222,87.3333333333333,83.1111111111111
0.5,0.8,"#48685B",1.0225576088155,1.26074371849943,2.11111111111111,68.3333333333333,66.2222222222222
0.5,0.8,"#C69480",1.26074371849943,1.49892982818337,2.11111111111111,68.3333333333333,66.2222222222222
1,0.8,"#C69480",1.49892982818337,1.7371159378673,2.11111111111111,70.4444444444444,68.3333333333333
0.2,0.8,"#48685B",1.7371159378673,1.97530204755123,2.11111111111111,57.7777777777778,55.6666666666667
0.8,0.8,"#C69480",1.97530204755123,2.92804648628696,8.44444444444444,57.7777777777778,49.3333333333333
0.5,0.8,"#73747E",2.92804648628696,3.16623259597089,2.11111111111111,70.4444444444444,68.3333333333333
0.5,0.8,"#48685B",3.16623259597089,3.40441870565482,2.11111111111111,70.4444444444444,68.3333333333333
1,0.8,"#C69480",3.43932529069471,3.67751140037864,2.11111111111111,91.5555555555555,89.4444444444444
1,0.8,"#C69480",3.67751140037864,3.91569751006257,2.11111111111111,91.5555555555555,89.4444444444444
1,0.8,"#C69480",3.95060409510246,4.18879020478639,2.11111111111111,93.6666666666667,91.5555555555555
