"source","target","value","z1","z2","k1","k2","dx_z","dx_k","color"
"愛","赋",19,106.666666666667,129.508196721311,10,41.7704918032787,655,45,"#D7955B"
"愛","比",3,292.185792349727,295.792349726776,41.7704918032787,46.7868852459016,655,45,"#D7955B"
"愛","兴",20,364.699453551913,388.743169398907,46.7868852459016,80.2295081967213,655,45,"#D7955B"
"喜","赋",16,129.508196721311,148.743169398907,90.2295081967213,116.983606557377,655,45,"#DAA36C"
"喜","比",8,295.792349726776,305.409836065574,116.983606557377,130.360655737705,655,45,"#DAA36C"
"喜","兴",20,388.743169398907,412.786885245902,130.360655737705,163.803278688525,655,45,"#DAA36C"
"欲","赋",3,148.743169398907,152.349726775956,173.803278688525,178.819672131148,655,45,"#E7C59D"
"欲","比",1,305.409836065574,306.612021857923,178.819672131148,180.491803278689,655,45,"#E7C59D"
"欲","兴",5,412.786885245902,418.79781420765,180.491803278689,188.852459016393,655,45,"#E7C59D"
"中性","赋",64,152.349726775956,229.289617486339,198.852459016393,305.868852459016,655,45,"#ECE3C1"
"中性","比",14,306.612021857923,323.44262295082,305.868852459016,329.27868852459,655,45,"#ECE3C1"
"中性","兴",22,418.79781420765,445.245901639344,329.27868852459,366.065573770492,655,45,"#ECE3C1"
"懼","赋",3,229.289617486339,232.896174863388,376.065573770492,381.081967213115,655,45,"#C3C8BA"
"懼","兴",2,445.245901639344,447.650273224044,381.081967213115,384.426229508197,655,45,"#C3C8BA"
"哀","赋",26,232.896174863388,264.153005464481,394.426229508197,437.901639344262,655,45,"#93A49E"
"哀","比",11,323.44262295082,336.666666666667,437.901639344262,456.295081967213,655,45,"#93A49E"
"哀","兴",25,447.650273224044,477.704918032787,456.295081967213,498.098360655738,655,45,"#93A49E"
"怒","赋",5,264.153005464481,270.16393442623,508.098360655738,516.459016393443,655,45,"#638083"
"怒","比",7,336.666666666667,345.081967213115,516.459016393443,528.16393442623,655,45,"#638083"
"怒","兴",7,477.704918032787,486.120218579235,528.16393442623,539.868852459016,655,45,"#638083"
"惡","赋",10,270.16393442623,282.185792349727,549.868852459016,566.590163934426,655,45,"#3D646E"
"惡","比",8,345.081967213115,354.699453551913,566.590163934426,579.967213114754,655,45,"#3D646E"
"惡","兴",6,486.120218579235,493.333333333333,579.967213114754,590,655,45,"#3D646E"
