"source","target","value","k1","k2","z1","z2","dx_k","color","dx_z","opacity"
"雅","興",27,10,56.0327868852459,126,151.859594985535,75,"#C69480",715,0.15
"風","興",70,219.016393442623,338.360655737705,151.859594985535,218.902989392478,75,"#73747E",715,0.15
"頌","興",19,521.803278688525,554.196721311475,218.902989392478,237.100482160077,75,"#48685B",715,0.15
"雅","觀",44,56.0327868852459,131.049180327869,267.100482160077,309.242044358727,75,"#C69480",715,0.15
"風","觀",35,338.360655737705,398.032786885246,309.242044358727,342.763741562199,75,"#73747E",715,0.15
"頌","觀",19,554.196721311475,586.590163934426,342.763741562199,360.961234329798,75,"#48685B",715,0.15
"雅","群",4,131.049180327869,137.868852459016,390.961234329797,394.792285438766,75,"#C69480",715,0.15
"風","群",12,398.032786885246,418.491803278688,394.792285438766,406.28543876567,75,"#73747E",715,0.15
"頌","群",2,586.590163934426,590,406.28543876567,408.200964320154,75,"#48685B",715,0.15
"雅","怨",30,137.868852459016,189.016393442623,438.200964320154,466.933847637416,75,"#C69480",715,0.15
"風","怨",43,418.491803278688,491.803278688525,466.933847637416,508.117647058824,75,"#73747E",715,0.15
"興","勤政",4,126,129.831051108968,15,21.6098360655738,715,"#B2B3B7",1340,0.2
"觀","勤政",3,267.100482160077,269.973770491803,21.6098360655738,26.5672131147541,715,"#B2B3B7",1340,0.2
"興","戰爭",2,129.831051108968,131.746576663452,32.5672131147541,35.872131147541,715,"#B2B3B7",1340,0.2
"觀","戰爭",7,269.973770491803,276.678109932498,35.872131147541,47.4393442622951,715,"#B2B3B7",1340,0.2
"群","戰爭",2,390.961234329797,392.876759884282,47.4393442622951,50.744262295082,715,"#B2B3B7",1340,0.2
"怨","戰爭",4,438.200964320154,442.032015429122,50.744262295082,57.3540983606557,715,"#B2B3B7",1340,0.2
"興","宴餉",8,131.746576663452,139.408678881389,63.3540983606557,76.5737704918033,715,"#B2B3B7",1340,0.2
"觀","宴餉",7,276.678109932498,283.382449373192,76.5737704918033,88.1409836065574,715,"#B2B3B7",1340,0.2
"興","祭祀",4,139.408678881389,143.239729990357,94.1409836065574,100.750819672131,715,"#B2B3B7",1340,0.2
"觀","祭祀",17,283.382449373192,299.664416586307,100.750819672131,128.84262295082,715,"#B2B3B7",1340,0.2
"興","諷諫",12,143.239729990357,154.732883317261,134.84262295082,154.672131147541,715,"#B2B3B7",1340,0.2
"觀","諷諫",7,299.664416586307,306.368756027001,154.672131147541,166.239344262295,715,"#B2B3B7",1340,0.2
"群","諷諫",1,392.876759884282,393.834522661524,166.239344262295,167.891803278689,715,"#B2B3B7",1340,0.2
"怨","諷諫",30,442.032015429122,470.764898746384,167.891803278689,217.465573770492,715,"#B2B3B7",1340,0.2
"興","頌歌",23,154.732883317261,176.761427193828,223.465573770492,261.472131147541,715,"#B2B3B7",1340,0.2
"觀","頌歌",25,306.368756027001,330.312825458052,261.472131147541,302.783606557377,715,"#B2B3B7",1340,0.2
"群","頌歌",1,393.834522661524,394.792285438766,302.783606557377,304.436065573771,715,"#B2B3B7",1340,0.2
"興","贊歌",8,176.761427193828,184.423529411765,310.436065573771,323.655737704918,715,"#B2B3B7",1340,0.2
"觀","贊歌",9,330.312825458052,338.93269045323,323.655737704918,338.527868852459,715,"#B2B3B7",1340,0.2
"群","贊歌",3,394.792285438766,397.665573770492,338.527868852459,343.485245901639,715,"#B2B3B7",1340,0.2
"興","戀曲",37,184.423529411765,219.86075216972,349.485245901639,410.626229508197,715,"#B2B3B7",1340,0.2
"觀","戀曲",6,338.93269045323,344.679267116683,410.626229508197,420.540983606557,715,"#B2B3B7",1340,0.2
"怨","戀曲",7,470.764898746384,477.469238187078,420.540983606557,432.108196721312,715,"#B2B3B7",1340,0.2
"興","自傷",5,219.86075216972,224.649566055931,438.108196721312,446.370491803279,715,"#B2B3B7",1340,0.2
"觀","自傷",1,344.679267116683,345.637029893925,446.370491803279,448.022950819672,715,"#B2B3B7",1340,0.2
"群","自傷",1,397.665573770492,398.623336547734,448.022950819672,449.675409836066,715,"#B2B3B7",1340,0.2
"怨","自傷",31,477.469238187078,507.159884281581,449.675409836066,500.901639344262,715,"#B2B3B7",1340,0.2
"興","民俗",8,224.649566055931,232.311668273867,506.901639344262,520.12131147541,715,"#B2B3B7",1340,0.2
"觀","民俗",12,345.637029893925,357.130183220829,520.12131147541,539.950819672131,715,"#B2B3B7",1340,0.2
"群","民俗",6,398.623336547734,404.369913211186,539.950819672131,549.865573770492,715,"#B2B3B7",1340,0.2
"怨","民俗",1,507.159884281581,508.117647058824,549.865573770492,551.518032786885,715,"#B2B3B7",1340,0.2
"興","齊家",4,232.311668273867,236.142719382835,557.518032786885,564.127868852459,715,"#B2B3B7",1340,0.2
"觀","齊家",4,357.130183220829,360.961234329797,564.127868852459,570.737704918033,715,"#B2B3B7",1340,0.2
"群","齊家",4,404.369913211186,408.200964320154,570.737704918033,577.347540983606,715,"#B2B3B7",1340,0.2
"興","悼亡",1,236.142719382835,237.100482160077,583.347540983607,585,715,"#B2B3B7",1340,0.2
